Users with invalid Usernames:
User,Username
Dave Linux-Man Fuller,dave
Jamie Sutton,sutjay
Nathan Sir-Documentation Chong,chongDoc
Saffee Deputy Ghafoori,SafeeGhafoo

Service Accounts with invalid Usernames:
Service Account,Username
Account Patcher,AccountPatcher317

Computers with invalid Usernames:
Computer,Username
CLIENT,CLIENT

Distinguished Name set?:
Computer,DN Set,DN
CLIENT,Yes,"CN=CLIENT,CN=Computers,DC=KTG,DC=local"
DESKTOP-A67G0P2,Yes,"CN=DESKTOP-A67G0P2,CN=Computers,DC=KTG,DC=local"

Admin List:
Admin Group,Members
Domain Admins,"Christopher M Kyriacou,  Administrator "
Enterprise Admins,Administrator 
Key Admins,
Schema Admins,Administrator 

Admin Last Logon:
Admin Name,Last Logon,Days Since
Christopher M Kyriacou,2021-04-01 14:28:59,6 
Administrator,2021-03-10 13:51:20,28 

Unused Users:
User,Days Unused
Administrator,28.0
Christopher M Kyriacou,6.0

Unused Computers:
Computer,Days Unused
CLIENT,82.0
DESKTOP-A67G0P2,82.0

Users with passwords past the day limit:
User,Username
Administrator,Administrator
Christopher M Kyriacou,ckyriacou
Dave Linux-Man Fuller,dave
Guest,Guest
Jamie Sutton,sutjay
krbtgt,krbtgt
Nathan Sir-Documentation Chong,chongDoc
Saffee Deputy Ghafoori,SafeeGhafoo

Users with password flag set to false:
User,Username
Dave Linux-Man Fuller,dave
Jamie Sutton,sutjay
Nathan Sir-Documentation Chong,chongDoc
Saffee Deputy Ghafoori,SafeeGhafoo

Service Accounts without a manager:
Service Account
Account Patcher
Updates

